# L=4,N=4,U=1.0000,mu=1.0000,t=1.0000,eta=0.1596,beta=1.0000,tau_slice=0.1579,M=100000
# H_0/t              H_1/t                E/t                  N             
1.0                  -4.0                 -3.0                 3.999999999999993   
1.0                  -4.0                 -3.0                 3.999999999999991   
1.0                  -4.0                 -3.0                 3.9999999999999907  
1.0                  -4.0                 -3.0                 3.9999999999999907  
3.0                  -2.0                 1.0                  3.9999999999999862  
1.0                  -4.0                 -3.0                 3.999999999999984   
1.0                  -6.0                 -5.0                 3.9999999999999845  
1.0                  -4.0                 -3.0                 3.9999999999999836  
1.0                  -2.0                 -1.0                 3.999999999999985   
3.0                  -2.0                 1.0                  3.999999999999986   
3.0                  -2.0                 1.0                  3.999999999999992   
3.0                  -2.0                 1.0                  3.9999999999999907  
3.0                  -2.0                 1.0                  3.9999999999999916  
3.0                  -2.0                 1.0                  3.999999999999992   
2.0                  -2.0                 0.0                  3.9999999999999907  
1.0                  -2.0                 -1.0                 3.9999999999999933  
1.0                  -2.0                 -1.0                 3.9999999999999933  
1.0                  -2.0                 -1.0                 3.999999999999993   
0.0                  -0.0                 0.0                  3.9999999999999916  
1.0                  -0.0                 1.0                  3.999999999999991   
1.0                  -0.0                 1.0                  3.999999999999991   
1.0                  -4.0                 -3.0                 3.999999999999991   
1.0                  -4.0                 -3.0                 3.999999999999991   
1.0                  -4.0                 -3.0                 3.9999999999999916  
1.0                  -4.0                 -3.0                 3.999999999999991   
2.0                  -4.0                 -2.0                 3.999999999999987   
2.0                  -4.0                 -2.0                 3.9999999999999862  
1.0                  -2.0                 -1.0                 3.9999999999999862  
2.0                  -6.0                 -4.0                 3.999999999999983   
1.0                  -0.0                 1.0                  3.9999999999999822  
1.0                  -0.0                 1.0                  3.9999999999999822  
2.0                  -4.0                 -2.0                 3.9999999999999805  
3.0                  -4.0                 -1.0                 3.9999999999999813  
3.0                  -4.0                 -1.0                 3.999999999999981   
3.0                  -4.0                 -1.0                 3.999999999999982   
1.0                  -2.0                 -1.0                 3.999999999999983   
1.0                  -6.0                 -5.0                 3.999999999999983   
1.0                  -2.0                 -1.0                 3.9999999999999796  
2.0                  -4.0                 -2.0                 3.9999999999999787  
2.0                  -4.0                 -2.0                 3.9999999999999796  
2.0                  -4.0                 -2.0                 3.9999999999999796  
0.0                  -2.0                 -2.0                 3.9999999999999796  
1.0                  -2.0                 -1.0                 3.9999999999999796  
3.0                  -0.0                 3.0                  3.9999999999999796  
0.0                  -6.0                 -6.0                 3.999999999999979   
0.0                  -6.0                 -6.0                 3.999999999999979   
0.0                  -6.0                 -6.0                 3.999999999999979   
0.0                  -6.0                 -6.0                 3.9999999999999787  
1.0                  -8.0                 -7.0                 3.999999999999979   
1.0                  -8.0                 -7.0                 3.999999999999979   
1.0                  -8.0                 -7.0                 3.999999999999979   
1.0                  -8.0                 -7.0                 3.9999999999999787  
0.0                  -6.0                 -6.0                 3.9999999999999782  
1.0                  -8.0                 -7.0                 3.999999999999979   
1.0                  -8.0                 -7.0                 3.999999999999979   
1.0                  -8.0                 -7.0                 3.9999999999999796  
3.0                  -4.0                 -1.0                 3.9999999999999805  
3.0                  -4.0                 -1.0                 3.999999999999981   
3.0                  -4.0                 -1.0                 3.9999999999999805  
3.0                  -4.0                 -1.0                 3.9999999999999805  
1.0                  -6.0                 -5.0                 3.9999999999999787  
1.0                  -6.0                 -5.0                 3.9999999999999787  
1.0                  -6.0                 -5.0                 3.9999999999999787  
1.0                  -10.0                -9.0                 3.999999999999978   
1.0                  -10.0                -9.0                 3.999999999999978   
1.0                  -10.0                -9.0                 3.999999999999978   
1.0                  -10.0                -9.0                 3.999999999999978   
1.0                  -6.0                 -5.0                 3.999999999999977   
1.0                  -6.0                 -5.0                 3.999999999999977   
1.0                  -6.0                 -5.0                 3.999999999999977   
1.0                  -6.0                 -5.0                 3.999999999999977   
1.0                  -6.0                 -5.0                 3.99999999999998    
1.0                  -6.0                 -5.0                 3.999999999999981   
1.0                  -6.0                 -5.0                 3.9999999999999805  
2.0                  -8.0                 -6.0                 3.999999999999985   
2.0                  -8.0                 -6.0                 3.999999999999985   
2.0                  -6.0                 -4.0                 3.9999999999999862  
2.0                  -6.0                 -4.0                 3.9999999999999862  
2.0                  -6.0                 -4.0                 3.9999999999999862  
2.0                  -6.0                 -4.0                 3.9999999999999862  
2.0                  -6.0                 -4.0                 3.999999999999986   
2.0                  -6.0                 -4.0                 3.999999999999986   
2.0                  -6.0                 -4.0                 3.9999999999999867  
2.0                  -4.0                 -2.0                 3.9999999999999876  
2.0                  -8.0                 -6.0                 3.9999999999999867  
