# L=4,N=4,U=100.0000,mu=0.5000,t=1.0000,eta=0.2080,beta=2.0000,M=2000000
# H_0/t              H_1/t                E/t                  N             
5.773159728050814e-15 -0.0                 5.773159728050814e-15 4.0                 
5.773159728050814e-15 -0.0                 5.773159728050814e-15 4.0                 
6.217248937900877e-15 -0.0                 6.217248937900877e-15 4.0                 
6.217248937900877e-15 -0.0                 6.217248937900877e-15 4.0                 
4.440892098500626e-15 -0.0                 4.440892098500626e-15 4.0                 
5.329070518200751e-15 -0.0                 5.329070518200751e-15 4.0                 
2.6645352591003757e-15 -0.0                 2.6645352591003757e-15 4.0                 
2.220446049250313e-15 -0.0                 2.220446049250313e-15 4.0                 
-3.1086244689504383e-15 -0.0                 -3.1086244689504383e-15 4.0                 
-6.661338147750939e-15 -0.0                 -6.661338147750939e-15 4.0                 
-9.547918011776346e-15 -0.0                 -9.547918011776346e-15 4.0                 
-9.103828801926284e-15 -0.0                 -9.103828801926284e-15 4.0                 
-8.215650382226158e-15 -0.0                 -8.215650382226158e-15 4.0                 
-1.4432899320127035e-14 -0.0                 -1.4432899320127035e-14 4.0                 
-1.5987211554602254e-14 -0.0                 -1.5987211554602254e-14 4.0                 
-1.5765166949677223e-14 -0.0                 -1.5765166949677223e-14 4.0                 
-1.4654943925052066e-14 -0.0                 -1.4654943925052066e-14 4.0                 
-1.4876988529977098e-14 -0.0                 -1.4876988529977098e-14 4.0                 
-1.4210854715202004e-14 -0.0                 -1.4210854715202004e-14 4.0                 
-1.4210854715202004e-14 -0.0                 -1.4210854715202004e-14 4.0                 
-1.4210854715202004e-14 -0.0                 -1.4210854715202004e-14 4.0                 
-1.3322676295501878e-14 -0.0                 -1.3322676295501878e-14 4.0                 
-1.532107773982716e-14 -0.0                 -1.532107773982716e-14 4.0                 
-6.8833827526759706e-15 -0.0                 -6.8833827526759706e-15 4.0                 
-3.774758283725532e-15 -0.0                 -3.774758283725532e-15 4.0                 
-5.10702591327572e-15 -0.0                 -5.10702591327572e-15 4.0                 
-4.440892098500626e-15 -0.0                 -4.440892098500626e-15 4.0                 
-2.4424906541753444e-15 -5.0                 -5.000000000000003   4.0                 
-5.10702591327572e-15 -0.0                 -5.10702591327572e-15 4.0                 
-4.6629367034256575e-15 -0.0                 -4.6629367034256575e-15 4.0                 
-6.217248937900877e-15 -0.0                 -6.217248937900877e-15 4.0                 
-6.217248937900877e-15 -0.0                 -6.217248937900877e-15 4.0                 
-5.551115123125783e-15 -0.0                 -5.551115123125783e-15 4.0                 
-1.9984014443252818e-15 -0.0                 -1.9984014443252818e-15 4.0                 
-3.3306690738754696e-15 -0.0                 -3.3306690738754696e-15 4.0                 
-3.3306690738754696e-15 -0.0                 -3.3306690738754696e-15 4.0                 
-3.552713678800501e-15 -0.0                 -3.552713678800501e-15 4.0                 
-6.661338147750939e-16 -0.0                 -6.661338147750939e-16 4.0                 
-8.43769498715119e-15 -0.0                 -8.43769498715119e-15 4.0                 
-7.993605777301127e-15 -0.0                 -7.993605777301127e-15 4.0                 
-7.549516567451064e-15 -0.0                 -7.549516567451064e-15 4.0                 
-1.1102230246251565e-14 -0.0                 -1.1102230246251565e-14 4.0                 
-4.884981308350689e-15 -0.0                 -4.884981308350689e-15 4.0                 
-1.5543122344752192e-15 -0.0                 -1.5543122344752192e-15 4.0                 
-1.3322676295501878e-15 -0.0                 -1.3322676295501878e-15 4.0                 
-1.1102230246251565e-14 -0.0                 -1.1102230246251565e-14 4.0                 
-1.1102230246251565e-14 -0.0                 -1.1102230246251565e-14 4.0                 
-8.881784197001252e-15 -0.0                 -8.881784197001252e-15 4.0                 
-6.8833827526759706e-15 -0.0                 -6.8833827526759706e-15 4.0                 
-7.549516567451064e-15 -0.0                 -7.549516567451064e-15 4.0                 
-1.3322676295501878e-14 -0.0                 -1.3322676295501878e-14 4.0                 
-1.3322676295501878e-14 -0.0                 -1.3322676295501878e-14 4.0                 
-1.021405182655144e-14 -0.0                 -1.021405182655144e-14 4.0                 
-3.3306690738754696e-15 -0.0                 -3.3306690738754696e-15 4.0                 
-5.995204332975845e-15 -0.0                 -5.995204332975845e-15 4.0                 
-4.6629367034256575e-15 -0.0                 -4.6629367034256575e-15 4.0                 
-4.440892098500626e-15 -0.0                 -4.440892098500626e-15 4.0                 
-4.218847493575595e-15 -0.0                 -4.218847493575595e-15 4.0                 
-6.217248937900877e-15 -0.0                 -6.217248937900877e-15 4.0                 
-6.217248937900877e-15 -0.0                 -6.217248937900877e-15 4.0                 
-1.7763568394002505e-15 -0.0                 -1.7763568394002505e-15 4.0                 
-8.881784197001252e-16 -0.0                 -8.881784197001252e-16 4.0                 
-8.881784197001252e-16 -0.0                 -8.881784197001252e-16 4.0                 
7.105427357601002e-15 -0.0                 7.105427357601002e-15 4.0                 
9.769962616701378e-15 -0.0                 9.769962616701378e-15 4.0                 
7.549516567451064e-15 -0.0                 7.549516567451064e-15 4.0                 
7.105427357601002e-15 -0.0                 7.105427357601002e-15 4.0                 
1.1102230246251565e-14 -0.0                 1.1102230246251565e-14 4.0                 
1.1546319456101628e-14 -0.0                 1.1546319456101628e-14 4.0                 
1.3322676295501878e-14 -0.0                 1.3322676295501878e-14 4.0                 
1.199040866595169e-14 -0.0                 1.199040866595169e-14 4.0                 
1.0658141036401503e-14 -0.0                 1.0658141036401503e-14 4.0                 
1.2434497875801753e-14 -0.0                 1.2434497875801753e-14 4.0                 
7.549516567451064e-15 -0.0                 7.549516567451064e-15 4.0                 
1.3766765505351941e-14 -0.0                 1.3766765505351941e-14 4.0                 
1.021405182655144e-14 -0.0                 1.021405182655144e-14 4.0                 
1.2878587085651816e-14 -0.0                 1.2878587085651816e-14 4.0                 
1.3766765505351941e-14 -0.0                 1.3766765505351941e-14 4.0                 
1.1546319456101628e-14 -0.0                 1.1546319456101628e-14 4.0                 
1.3322676295501878e-14 -0.0                 1.3322676295501878e-14 4.0                 
1.5987211554602254e-14 -0.0                 1.5987211554602254e-14 4.0                 
1.3766765505351941e-14 -0.0                 1.3766765505351941e-14 4.0                 
1.3766765505351941e-14 -0.0                 1.3766765505351941e-14 4.0                 
1.509903313490213e-14 -0.0                 1.509903313490213e-14 4.0                 
1.4654943925052066e-14 -0.0                 1.4654943925052066e-14 4.0                 
8.881784197001252e-15 -0.0                 8.881784197001252e-15 4.0                 
1.021405182655144e-14 -0.0                 1.021405182655144e-14 4.0                 
1.021405182655144e-14 -0.0                 1.021405182655144e-14 4.0                 
6.217248937900877e-15 -0.0                 6.217248937900877e-15 4.0                 
6.217248937900877e-15 -0.0                 6.217248937900877e-15 4.0                 
6.217248937900877e-15 -0.0                 6.217248937900877e-15 4.0                 
8.43769498715119e-15 -0.0                 8.43769498715119e-15 4.0                 
8.43769498715119e-15 -0.0                 8.43769498715119e-15 4.0                 
7.549516567451064e-15 -0.0                 7.549516567451064e-15 4.0                 
5.773159728050814e-15 -0.0                 5.773159728050814e-15 4.0                 
5.773159728050814e-15 -0.0                 5.773159728050814e-15 4.0                 
5.329070518200751e-15 -0.0                 5.329070518200751e-15 4.0                 
7.549516567451064e-15 -0.0                 7.549516567451064e-15 4.0                 
7.993605777301127e-15 -0.0                 7.993605777301127e-15 4.0                 
6.661338147750939e-15 -0.0                 6.661338147750939e-15 4.0                 
6.217248937900877e-15 -0.0                 6.217248937900877e-15 4.0                 
7.549516567451064e-15 -0.0                 7.549516567451064e-15 4.0                 
6.661338147750939e-15 -0.0                 6.661338147750939e-15 4.0                 
6.217248937900877e-15 -0.0                 6.217248937900877e-15 4.0                 
6.217248937900877e-15 -0.0                 6.217248937900877e-15 4.0                 
5.329070518200751e-15 -0.0                 5.329070518200751e-15 4.0                 
7.105427357601002e-15 -0.0                 7.105427357601002e-15 4.0                 
5.329070518200751e-15 -0.0                 5.329070518200751e-15 4.0                 
3.552713678800501e-15 -0.0                 3.552713678800501e-15 4.0                 
5.329070518200751e-15 -0.0                 5.329070518200751e-15 4.0                 
6.217248937900877e-15 -0.0                 6.217248937900877e-15 4.0                 
4.884981308350689e-15 -0.0                 4.884981308350689e-15 4.0                 
4.440892098500626e-15 -0.0                 4.440892098500626e-15 4.0                 
4.884981308350689e-15 -0.0                 4.884981308350689e-15 4.0                 
1.021405182655144e-14 -0.0                 1.021405182655144e-14 4.0                 
1.3766765505351941e-14 -0.0                 1.3766765505351941e-14 4.0                 
1.2434497875801753e-14 -0.0                 1.2434497875801753e-14 4.0                 
8.881784197001252e-15 -0.0                 8.881784197001252e-15 4.0                 
1.2434497875801753e-14 -0.0                 1.2434497875801753e-14 4.0                 
8.43769498715119e-15 -0.0                 8.43769498715119e-15 4.0                 
7.993605777301127e-15 -0.0                 7.993605777301127e-15 4.0                 
9.325873406851315e-15 -0.0                 9.325873406851315e-15 4.0                 
6.217248937900877e-15 -0.0                 6.217248937900877e-15 4.0                 
7.993605777301127e-15 -0.0                 7.993605777301127e-15 4.0                 
1.021405182655144e-14 -0.0                 1.021405182655144e-14 4.0                 
8.881784197001252e-15 -0.0                 8.881784197001252e-15 4.0                 
1.021405182655144e-14 -0.0                 1.021405182655144e-14 4.0                 
9.769962616701378e-15 -0.0                 9.769962616701378e-15 4.0                 
8.43769498715119e-15 -0.0                 8.43769498715119e-15 4.0                 
7.105427357601002e-15 -0.0                 7.105427357601002e-15 4.0                 
4.884981308350689e-15 -0.0                 4.884981308350689e-15 4.0                 
7.549516567451064e-15 -0.0                 7.549516567451064e-15 4.0                 
9.769962616701378e-15 -0.0                 9.769962616701378e-15 4.0                 
1.199040866595169e-14 -0.0                 1.199040866595169e-14 4.0                 
9.769962616701378e-15 -0.0                 9.769962616701378e-15 4.0                 
