# L=4,N=4,U=0.0000,mu=-2.4000,t=1.0000,eta=0.1477,beta=1.0000,tau_slice=0.3158,M=100000
# H_0/t              H_1/t                E/t                  N             
2.4                  -0.0                 2.4                  1.0000000000000004  
4.8                  -2.0                 2.8                  1.9999999999999998  
4.8                  -2.0                 2.8                  2.0                 
2.4                  -3.0                 -0.6000000000000001  1.0                 
2.4                  -3.0                 -0.6000000000000001  1.0                 
2.4                  -3.0                 -0.6000000000000001  1.0                 
4.8                  -1.0                 3.8                  2.0                 
2.4                  -1.0                 1.4                  1.0                 
4.8                  -1.0                 3.8                  1.9999999999999996  
2.4                  -0.0                 2.4                  0.9999999999999996  
2.4                  -1.0                 1.4                  0.9999999999999998  
2.4                  -1.0                 1.4                  0.9999999999999998  
2.4                  -1.0                 1.4                  0.9999999999999999  
2.4                  -1.0                 1.4                  1.0                 
2.4                  -1.0                 1.4                  1.0                 
2.4                  -1.0                 1.4                  0.9999999999999999  
2.4                  -1.0                 1.4                  0.9999999999999999  
2.4                  -1.0                 1.4                  1.0                 
2.4                  -1.0                 1.4                  1.0                 
2.4                  -1.0                 1.4                  1.0                 
2.4                  -2.0                 0.3999999999999999   0.9999999999999999  
2.4                  -1.0                 1.4                  0.9999999999999998  
2.4                  -1.0                 1.4                  0.9999999999999999  
2.4                  -1.0                 1.4                  1.0                 
2.4                  -1.0                 1.4                  0.9999999999999998  
2.4                  -1.0                 1.4                  0.9999999999999998  
4.8                  -3.0                 1.7999999999999998   1.9999999999999996  
4.8                  -3.0                 1.7999999999999998   1.9999999999999996  
4.8                  -3.0                 1.7999999999999998   1.9999999999999991  
4.8                  -1.0                 3.8                  1.9999999999999987  
4.8                  -1.0                 3.8                  1.9999999999999987  
4.8                  -2.0                 2.8                  1.9999999999999987  
4.8                  -2.0                 2.8                  1.9999999999999987  
7.199999999999999    -2.0                 5.199999999999999    2.9999999999999982  
4.8                  -1.0                 3.8                  1.9999999999999984  
4.8                  -1.0                 3.8                  1.9999999999999987  
7.199999999999999    -0.0                 7.199999999999999    2.9999999999999982  
4.8                  -1.0                 3.8                  1.999999999999998   
4.8                  -1.0                 3.8                  1.9999999999999973  
4.8                  -1.0                 3.8                  1.9999999999999971  
4.8                  -2.0                 2.8                  1.9999999999999971  
4.8                  -2.0                 2.8                  1.9999999999999973  
4.8                  -1.0                 3.8                  1.9999999999999973  
4.8                  -1.0                 3.8                  1.9999999999999973  
4.8                  -3.0                 1.7999999999999998   1.9999999999999973  
4.8                  -2.0                 2.8                  1.9999999999999971  
7.199999999999999    -3.0                 4.199999999999999    2.9999999999999973  
7.199999999999999    -4.0                 3.1999999999999993   2.9999999999999973  
7.199999999999999    -4.0                 3.1999999999999993   2.9999999999999973  
9.6                  -3.0                 6.6                  3.9999999999999973  
9.6                  -3.0                 6.6                  3.9999999999999973  
9.6                  -2.0                 7.6                  3.9999999999999982  
9.6                  -3.0                 6.6                  3.999999999999999   
7.199999999999999    -4.0                 3.1999999999999993   3.000000000000001   
4.8                  -5.0                 -0.20000000000000018 2.000000000000001   
4.8                  -4.0                 0.7999999999999998   2.0000000000000013  
4.8                  -5.0                 -0.20000000000000018 2.000000000000001   
4.8                  -6.0                 -1.2000000000000002  2.0000000000000013  
4.8                  -5.0                 -0.20000000000000018 2.0000000000000018  
4.8                  -5.0                 -0.20000000000000018 2.0000000000000018  
4.8                  -6.0                 -1.2000000000000002  2.0000000000000018  
2.4                  -4.0                 -1.6                 1.0000000000000022  
2.4                  -3.0                 -0.6000000000000001  1.0000000000000022  
2.4                  -2.0                 0.3999999999999999   1.0000000000000027  
2.4                  -3.0                 -0.6000000000000001  1.0000000000000024  
2.4                  -2.0                 0.3999999999999999   1.0000000000000022  
2.4                  -2.0                 0.3999999999999999   1.0000000000000022  
2.4                  -2.0                 0.3999999999999999   1.0000000000000022  
2.4                  -1.0                 1.4                  1.0000000000000022  
2.4                  -1.0                 1.4                  1.0000000000000018  
2.4                  -1.0                 1.4                  1.0000000000000018  
0.0                  -0.0                 0.0                  1.7763568394002505e-15
2.4                  -2.0                 0.3999999999999999   1.0000000000000018  
2.4                  -2.0                 0.3999999999999999   1.0000000000000018  
2.4                  -2.0                 0.3999999999999999   1.0000000000000018  
2.4                  -2.0                 0.3999999999999999   1.0000000000000018  
2.4                  -2.0                 0.3999999999999999   1.0000000000000018  
2.4                  -2.0                 0.3999999999999999   1.0000000000000018  
2.4                  -2.0                 0.3999999999999999   1.0000000000000016  
2.4                  -1.0                 1.4                  1.0000000000000018  
2.4                  -1.0                 1.4                  1.0000000000000018  
2.4                  -3.0                 -0.6000000000000001  1.0000000000000016  
