# U/t       std. error
0.0000      0.1144004301690445
1.0000      0.1157844564296537
2.0000      0.0908070849956064
3.0000      0.082874641325113
4.0000      0.0949969352751122
5.0000      0.0812415552577061
6.0000      0.1245653820443299
7.0000      0.1126538367228206
8.0000      0.115828244615145
9.0000      0.1399070332468849
10.0000     0.125897172952436
11.0000     0.1245654315190327
12.0000     0.1240048966057317
13.0000     0.1211061673049842
14.0000     0.1235349027914863
15.0000     0.123751963854624
16.0000     0.1977207122050166
