# M=4, N=4, PBC
# U/t E0/t S2(n=2) S2(l=2) Eop(l=2)
28.0 -0.578406189718133 1.7328669258304514 0.021547541562956574 0.005832142815483165
29.0 -0.5580236402099173 1.737112893817066 0.020019134123122076 0.005503696487917721
30.0 -0.5390391972177858 1.7409129536035268 0.01864900932388075 0.005200354433706105
31.0 -0.5213130762898759 1.7443274291220379 0.017415949745413103 0.004919847197622916
32.0 -0.504723575827593 1.7474068240946024 0.016302182560904294 0.004660121023910213
33.0 -0.48916424267236747 1.7501936643697136 0.015292730215117876 0.004419320711039808
34.0 -0.47454155407715065 1.752723953624086 0.014374899162370426 0.0041957721929372
35.0 -0.4607730098120452 1.7550283312354327 0.013537874243942205 0.003987965605936122
36.0 -0.4477855523326212 1.7571329991805822 0.01277239456030901 0.0037945392779289997
37.0 -0.43551425112919184 1.7590604686212654 0.012070492701248277 0.0036142648663767723
38.0 -0.4239012011704763 1.7608301648224711 0.011425283597227541 0.0034460337374860603
39.0 -0.4128945958986722 1.7624589200729346 0.010830792506477869 0.0032888445948490138
40.0 -0.40244794335107875 1.763961377531375 0.010281814073672596 0.003141792315018102
41.0 -0.39251940027826215 1.7653503238197163 0.009773796213986637 0.0030040579184838117
42.0 -0.3830712040427301 1.7666369643012276 0.009302743951688154 0.002874899590152447
43.0 -0.3740691859427998 1.7678311520079564 0.008865139389814496 0.0027536446576458635
44.0 -0.365482352658184 1.7689415788913254 0.008457874791554408 0.0026396824362102662
45.0 -0.35728252494040735 1.7699759362950034 0.008078196374367344 0.0025324578525732547
46.0 -0.34944402461139096 1.770941050166419 0.007723656900320435 0.002431465765676567
47.0 -0.3419434024932097 1.7718429954400519 0.007392075523251115 0.002336245908844739
48.0 -0.3347592011521778 1.7726871931723138 0.007081503649701531 0.0022463783846298968
49.0 -0.3278717473635638 1.7734784933325531 0.006790195805210661 0.002161479650534223
50.0 -0.3212629700378524 1.7742212456173116 0.006516584683741683 0.0020811989400960663
51.0 -0.3149162400333323 1.77491936022554 0.006259259707043576 0.002005215069954544
52.0 -0.3088162288425679 1.7755763601874515 0.006016948540166116 0.0019332335889783352
53.0 -0.30294878360533495 1.776195426561583 0.005788501105856697 0.0018649842305601644
54.0 -0.297300816286381 1.7767794375891661 0.0055728757186122154 0.0018002186336341425
55.0 -0.2918602051776336 1.7773310027115423 0.005369127022728189 0.001738708302004067
56.0 -0.2866157071529833 1.7778524922066992 0.005176395470778714 0.001680242775189055
57.0 -0.28155687932897877 1.778346063078043 0.004993898121271524 0.0016246279869902476
58.0 -0.27667400897429956 1.7788136817276226 0.004820920569670888 0.0015716847909744685
59.0 -0.2719580506708944 1.77925714386245 0.004656809855720449 0.0015212476343549387
60.0 -0.26740056986521576 1.779678092013387 0.00450096821418445 0.0014731633639812867
61.0 -0.26299369206311657 1.7800780309885087 0.004352847556146936 0.0014272901501009565
62.0 -0.2587300570200901 1.7804583415349071 0.004211944584723985 0.001383496515100973
63.0 -0.25460277736235193 1.7808202924425502 0.004077796463054276 0.0013416604560608633
64.0 -0.2506054011460821 1.7811650512902482 0.003949976964250863 0.0013016686511060334
65.0 -0.246731877923839 1.7814936940051664 0.0038280930428647867 0.0012634157407762784
66.0 -0.242976527940284 1.7818072133835026 0.0037117817759118304 0.0012268036765892497
67.0 -0.23933401412522134 1.782106526699435 0.003600707628484557 0.0011917411298617052
68.0 -0.23579931659165532 1.7823924825123543 0.0034945600051931465 0.0011581429546166607
69.0 -0.23236770938098977 1.7826658667675421 0.003393051053675508 0.0011259296991282448
70.0 -0.22903473922742623 1.7829274082730344 0.003295913690957136 0.0010950271611977795
71.0 -0.2257962061396924 1.7831777836245766 0.003202899827116971 0.0010653659828361427
72.0 -0.2226481456209905 1.7834176216414388 0.0031137787640216526 0.0010368812804719238
73.0 -0.21958681236797686 1.7836475073678848 0.003028335749635806 0.0010095123072289738
74.0 -0.21660866530702952 1.783867985688321 0.002946370670878748 0.000983202144191056
75.0 -0.2137103538413963 1.7840795645982017 0.002867696869975341 0.0009578974178431603
76.0 -0.21088870519630115 1.784282718167727 0.0027921400711992217 0.0009335480412992457
77.0 -0.2081407127609734 1.7844778892309148 0.0027195374063348735 0.0009101069769974038
78.0 -0.20546352533706488 1.7846654918287623 0.002649736528601959 0.000887530018948717
79.0 -0.20285443721220284 1.784845913431943 0.00258259480597228 0.0008657755926813433
80.0 -0.2003108789856549 1.785019516965504 0.0025179785858751467 0.0008448045713359027
81.0 -0.19783040908038094 1.7851866426554763 0.002455762524090224 0.0008245801064088729
82.0 -0.19541070588223708 1.7853476097151428 0.0023958289715474714 0.0008050674718596961
83.0 -0.19304956045287452 1.7855027178866651 0.0023380674133576993 0.0007862339204047517
84.0 -0.19074486976802144 1.7856522488521254 0.0022823739550491017 0.0007680485509228095
85.0 -0.18849463043743994 1.7857964675264812 0.0022286508515303475 0.000750482186028457
86.0 -0.18629693286695606 1.7859356232435988 0.0021768060747337933 0.0007335072589093054
87.0 -0.18414995582664467 1.7860699508453974 0.0021267529163760757 0.0007170977086753472
88.0 -0.18205196139254895 1.7861996716830302 0.002078409622604814 0.0007012288834935022
89.0 -0.1800012902322801 1.7863249945381414 0.002031699057606116 0.0006858774508407793
90.0 -0.17799635720750023 1.786446116471444 0.001986548393604161 0.0006710213143035557
91.0 -0.17603564726869492 1.7865632236050961 0.0019428888249274105 0.0006566395364051584
92.0 -0.17411771161979564 1.786676491844689 0.0019006553039667144 0.0006427122669335828
93.0 -0.1722411641321659 1.786786087546175 0.0018597862971809888 0.0006292206763584519
94.0 -0.1704046779892208 1.7868921681324752 0.0018202235594116424 0.0006161468939170946
95.0 -0.1686069825445454 1.7869948826640252 0.001781911924954581 0.0006034739500208955
96.0 -0.16684686037781446 1.7870943723672135 0.0017447991139524278 0.0005911857226118334
97.0 -0.1651231445341254 1.7871907711241926 0.001708835552887352 0.0005792668871983076
98.0 -0.16343471593353903 1.7872842059272798 0.0016739742079704008 0.0005677028702652721
99.0 -0.16178050093870083 1.7873747973008416 0.0016401704303723513 0.0005564798057989566
100.0 -0.1601594690693906 1.787462659693284 0.001607381812397905 0.000545584494726122
