# L=4,N=4,U=0.0000,mu=-2.4000,t=1.0000,eta=0.1407,beta=1.0000,tau_slice=0.8947,M=100000
# H_0/t              H_1/t                E/t                  N             
7.199999999999999    -0.0                 7.199999999999999    3.0                 
9.6                  -2.0                 7.6                  4.0                 
9.6                  -2.0                 7.6                  4.0                 
7.199999999999999    -4.0                 3.1999999999999993   3.0                 
7.199999999999999    -4.0                 3.1999999999999993   3.0                 
7.199999999999999    -4.0                 3.1999999999999993   3.0                 
7.199999999999999    -4.0                 3.1999999999999993   3.0000000000000004  
7.199999999999999    -4.0                 3.1999999999999993   3.0000000000000004  
7.199999999999999    -4.0                 3.1999999999999993   3.000000000000001   
7.199999999999999    -4.0                 3.1999999999999993   3.000000000000001   
7.199999999999999    -4.0                 3.1999999999999993   3.000000000000001   
7.199999999999999    -4.0                 3.1999999999999993   3.0000000000000004  
7.199999999999999    -2.0                 5.199999999999999    3.000000000000001   
9.6                  -2.0                 7.6                  4.000000000000001   
9.6                  -2.0                 7.6                  4.000000000000001   
7.199999999999999    -2.0                 5.199999999999999    3.0000000000000004  
4.8                  -2.0                 2.8                  2.000000000000001   
4.8                  -2.0                 2.8                  2.000000000000001   
4.8                  -2.0                 2.8                  2.000000000000001   
4.8                  -2.0                 2.8                  2.000000000000001   
4.8                  -2.0                 2.8                  2.000000000000001   
4.8                  -2.0                 2.8                  2.000000000000001   
4.8                  -2.0                 2.8                  2.000000000000001   
4.8                  -0.0                 4.8                  2.0000000000000004  
7.199999999999999    -0.0                 7.199999999999999    3.0000000000000004  
7.199999999999999    -0.0                 7.199999999999999    2.999999999999999   
7.199999999999999    -0.0                 7.199999999999999    2.999999999999999   
7.199999999999999    -2.0                 5.199999999999999    3.0                 
7.199999999999999    -2.0                 5.199999999999999    3.0                 
12.0                 -4.0                 8.0                  5.0                 
12.0                 -4.0                 8.0                  5.0                 
12.0                 -4.0                 8.0                  5.0                 
12.0                 -4.0                 8.0                  5.0                 
12.0                 -6.0                 6.0                  5.0                 
12.0                 -6.0                 6.0                  5.0                 
12.0                 -6.0                 6.0                  4.999999999999999   
12.0                 -4.0                 8.0                  4.999999999999998   
12.0                 -4.0                 8.0                  4.999999999999998   
12.0                 -6.0                 6.0                  4.999999999999997   
12.0                 -4.0                 8.0                  4.999999999999997   
12.0                 -4.0                 8.0                  4.9999999999999964  
12.0                 -2.0                 10.0                 4.9999999999999964  
12.0                 -4.0                 8.0                  4.999999999999997   
12.0                 -4.0                 8.0                  4.9999999999999964  
12.0                 -6.0                 6.0                  4.999999999999995   
12.0                 -6.0                 6.0                  4.999999999999995   
12.0                 -2.0                 10.0                 4.999999999999995   
12.0                 -2.0                 10.0                 4.999999999999995   
9.6                  -2.0                 7.6                  3.9999999999999964  
9.6                  -2.0                 7.6                  3.9999999999999964  
9.6                  -2.0                 7.6                  3.9999999999999964  
9.6                  -2.0                 7.6                  3.9999999999999964  
12.0                 -2.0                 10.0                 4.999999999999995   
12.0                 -2.0                 10.0                 4.999999999999995   
12.0                 -2.0                 10.0                 4.999999999999995   
12.0                 -2.0                 10.0                 4.999999999999995   
12.0                 -2.0                 10.0                 4.999999999999995   
12.0                 -4.0                 8.0                  4.9999999999999964  
12.0                 -4.0                 8.0                  4.9999999999999964  
12.0                 -6.0                 6.0                  4.999999999999995   
12.0                 -2.0                 10.0                 4.999999999999997   
12.0                 -2.0                 10.0                 4.999999999999997   
12.0                 -2.0                 10.0                 4.9999999999999964  
12.0                 -2.0                 10.0                 4.9999999999999964  
12.0                 -2.0                 10.0                 4.9999999999999964  
12.0                 -2.0                 10.0                 4.9999999999999964  
16.799999999999997   -4.0                 12.799999999999997   6.9999999999999964  
16.799999999999997   -4.0                 12.799999999999997   6.9999999999999964  
19.2                 -10.0                9.2                  7.999999999999996   
19.2                 -6.0                 13.2                 7.9999999999999964  
19.2                 -8.0                 11.2                 7.999999999999995   
19.2                 -8.0                 11.2                 7.999999999999995   
19.2                 -8.0                 11.2                 7.9999999999999964  
19.2                 -8.0                 11.2                 7.9999999999999964  
19.2                 -4.0                 15.2                 7.999999999999995   
19.2                 -4.0                 15.2                 7.999999999999995   
19.2                 -4.0                 15.2                 7.999999999999996   
19.2                 -0.0                 19.2                 7.999999999999995   
19.2                 -6.0                 13.2                 7.999999999999994   
19.2                 -6.0                 13.2                 7.999999999999994   
19.2                 -6.0                 13.2                 7.999999999999994   
19.2                 -8.0                 11.2                 7.9999999999999964  
21.599999999999998   -12.0                9.599999999999998    8.999999999999995   
21.599999999999998   -12.0                9.599999999999998    8.999999999999995   
21.599999999999998   -12.0                9.599999999999998    8.999999999999995   
21.599999999999998   -12.0                9.599999999999998    8.999999999999996   
19.2                 -8.0                 11.2                 7.999999999999994   
19.2                 -8.0                 11.2                 7.999999999999994   
19.2                 -8.0                 11.2                 7.999999999999994   
19.2                 -8.0                 11.2                 7.999999999999994   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -10.0                9.2                  7.999999999999996   
19.2                 -10.0                9.2                  7.999999999999996   
19.2                 -10.0                9.2                  7.999999999999996   
19.2                 -10.0                9.2                  7.999999999999997   
19.2                 -10.0                9.2                  7.999999999999997   
19.2                 -10.0                9.2                  7.9999999999999964  
19.2                 -10.0                9.2                  7.9999999999999964  
19.2                 -8.0                 11.2                 7.999999999999996   
19.2                 -8.0                 11.2                 7.999999999999995   
19.2                 -8.0                 11.2                 7.999999999999995   
19.2                 -8.0                 11.2                 7.999999999999995   
19.2                 -8.0                 11.2                 7.9999999999999964  
19.2                 -8.0                 11.2                 7.999999999999996   
19.2                 -8.0                 11.2                 7.999999999999996   
19.2                 -8.0                 11.2                 7.999999999999996   
19.2                 -6.0                 13.2                 7.999999999999996   
19.2                 -6.0                 13.2                 7.999999999999994   
19.2                 -6.0                 13.2                 7.999999999999994   
19.2                 -6.0                 13.2                 7.999999999999996   
19.2                 -6.0                 13.2                 7.999999999999995   
19.2                 -6.0                 13.2                 7.999999999999995   
19.2                 -6.0                 13.2                 7.999999999999996   
19.2                 -6.0                 13.2                 7.999999999999996   
19.2                 -6.0                 13.2                 7.999999999999994   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -8.0                 11.2                 7.999999999999992   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -8.0                 11.2                 7.999999999999992   
19.2                 -8.0                 11.2                 7.999999999999992   
19.2                 -8.0                 11.2                 7.999999999999993   
19.2                 -6.0                 13.2                 7.999999999999993   
19.2                 -6.0                 13.2                 7.999999999999991   
19.2                 -6.0                 13.2                 7.999999999999992   
19.2                 -6.0                 13.2                 7.999999999999992   
21.6                 -6.0                 15.600000000000001   8.999999999999995   
21.6                 -6.0                 15.600000000000001   8.999999999999993   
21.6                 -8.0                 13.600000000000001   8.999999999999993   
21.6                 -8.0                 13.600000000000001   8.999999999999991   
21.6                 -8.0                 13.600000000000001   8.999999999999991   
21.6                 -8.0                 13.600000000000001   8.999999999999991   
21.6                 -8.0                 13.600000000000001   8.999999999999991   
21.6                 -8.0                 13.600000000000001   8.999999999999991   
21.6                 -8.0                 13.600000000000001   8.999999999999991   
21.6                 -6.0                 15.600000000000001   8.999999999999991   
21.6                 -6.0                 15.600000000000001   8.99999999999999    
